link,id,name,bibliography,artist - link,artist - name - first,artist - name - last,artist - name - middle,artist - active,on_view,category,image_link,acquired_id,acquired_from,painting_type,created_year,created_country,copyright,display,artist - dates,artist - dates - born,artist - dates - died,artist - birthplace - country,artist - birthplace - state,artist - birthplace - town,dimensions - width,dimensions - height,dimensions - depth,dimensions - unit
http://collections.lacma.org/node/228436,228436,Portrait of Mrs. William Preston Harrison,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991. 3. Vure, Sarah. Circles of Influence: Impressionsim to Modernism in Southern California Art, 1910-1930. Newport Beach, CA. 2000.",http://collections.lacma.org/node/164641,Robert,Henri,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969361-WEB.jpg,25.6.7,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1925,United States,,(blank),,1865,1929,United States,Ohio,Cincinnati,101.6,132.4,,cms
http://collections.lacma.org/node/228438,228438,Shops,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165597,Guy,du Bois,Pène,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969403-WEB.jpg,25.7.3,Los Angeles County Fund,,before 1922,United States,"Estate of Guy Pène du Bois, James Graham and Sons, New York",(blank),,1884,1958,United States,New York,Brooklyn,50.95,63.65,,cms
http://collections.lacma.org/node/228440,228440,Parthenope,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164834,John,Carroll,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969319-WEB.jpg,25.19.2,Mr. and Mrs. Allan C. Balch Collection,Oil on canvas,before 1925,United States,Estate of John Carroll,(blank),,1892,1959,United States,Kansas,Kansas City,153.35,102.39,,cms
http://collections.lacma.org/node/228443,228443,Portrait of William Preston Harrison,"1. About the Era. 2. Curry, Larry. American Pastels And Watercolors. Los Angeles: Los Angeles County Museum of Art, 1969. 3. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164792,Wayman,Adams,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31975080-WEB.jpg,25.6.2,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1924,United States,,(blank),,1883,1959,United States,Indiana,Muncie,101.76,132.24,,cms
http://collections.lacma.org/node/228443,228443,Portrait of William Preston Harrison,"1. About the Era. 2. Curry, Larry. American Pastels And Watercolors. Los Angeles: Los Angeles County Museum of Art, 1969. 3. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/424182,William,Harrison,Preston,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31975080-WEB.jpg,25.6.2,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1924,United States,,(blank),,,,United States,,,101.76,132.24,,cms
http://collections.lacma.org/node/228558,228558,A Family Group,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",,,,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969949-WEB.jpg,45.7,Gift of W. L. Adams,Oil on canvas,late 1840s,United States,,(blank),,,,,,,91.92,123.19,,cms
http://collections.lacma.org/node/228836,228836,Temple Dancer,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164748,Elliott,Daingerfield,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971727-WEB.jpg,M.45.3.510,Mr. and Mrs. Allan C. Balch Collection,,circa 1910-1920,United States,,(blank),,1859,1932,United States,Virginia,Harpers Ferry,30.32,40.64,,cms
http://collections.lacma.org/node/229887,229887,Portrait of Edward Wheelwright,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/167934,William,Hunt,Morris,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970621-WEB.jpg,51.5,Gift of T. Gilbert Brouillette,Oil on canvas,1857,United States,,(blank),,1824,1879,United States,Vermont,Brattleboro,46.03,55.4,,cms
http://collections.lacma.org/node/230410,230410,The Trio,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/166816,Frederick,Williams,Ballard,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971783-WEB.jpg,M.53.1.3,Gift of Mrs. Eloise Mabury Knapp,Oil on canvas mounted on wood panel,before 1909,United States,Estate of Frederick Ballard Williams,(blank),,1871,1956,United States,New York,Brooklyn,40.48,60.96,,cms
http://collections.lacma.org/node/231324,231324,Girl with Turkeys,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165621,George,Fuller,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970810-WEB.jpg,56.2,Gift of William T. Cresmer,Oil on canvas,circa 1883-1884,United States,,(blank),,1822,1884,United States,Massachusetts,Deerfield,127.16,76.36,,cms
http://collections.lacma.org/node/231370,231370,The Mural Assistant,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164821,Louis,Bouché,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970838-WEB.jpg,56.24,Gift of Mr. and Mrs. Billy Wilder,Oil on canvas,1937,United States,Louis Bouché Estate,(blank),,1896,1969,United States,New York,New York City,68.74,101.76,,cms
